Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
25-Jul-25,ITC,409.4,409.95, -0.0013,  0.0109,  0.0108,  0.2073,409.15,410.2, -0.0026,  0.0109,  0.0108,  0.2069,  0.0108,  0.2073
25-Jul-25,JINDALSTEL,1000.15,1000.45, -0.0003,  0.0197,  0.0196,  0.3749,1000.1,1000.95, -0.0008,  0.0196,  0.0196,  0.3735,  0.0196,  0.3749
25-Jul-25,JIOFIN,311.25,316.45, -0.0166,  0.0204,  0.0204,  0.3895,310.8,317.25, -0.0205,  0.0205,  0.0205,  0.3911,  0.0205,  0.3911
25-Jul-25,JSL,656.05,664.2, -0.0123,  0.0235,  0.0235,  0.4481,657.45,666.45, -0.0136,  0.0234,  0.0233,  0.4454,  0.0235,  0.4481
25-Jul-25,JSWENERGY,518.1,532.55, -0.0275,  0.0258,  0.0258,  0.4933,516.8,532.6, -0.0301,  0.0258,  0.0258,  0.4930,  0.0258,  0.4933
25-Jul-25,JSWSTEEL,1026.9,1033.8, -0.0067,  0.0163,  0.0163,  0.3111,1026.1,1037.2, -0.0108,  0.0164,  0.0164,  0.3126,  0.0164,  0.3126
25-Jul-25,JUBLFOOD,649.05,656.1, -0.0108,  0.0190,  0.0190,  0.3629,648.95,657.5, -0.0131,  0.0188,  0.0187,  0.3580,  0.0190,  0.3629
25-Jul-25,KALYANKJIL,594,613, -0.0315,  0.0283,  0.0283,  0.5404,594.8,613.15, -0.0304,  0.0277,  0.0277,  0.5293,  0.0283,  0.5404
25-Jul-25,KAYNES,5693,5660.5,  0.0057,  0.0302,  0.0301,  0.5757,5700,5682,  0.0032,  0.0303,  0.0302,  0.5770,  0.0302,  0.5770
25-Jul-25,KEI,3881.8,3905.7, -0.0061,  0.0280,  0.0279,  0.5330,3886.1,3922.1, -0.0092,  0.0281,  0.0280,  0.5357,  0.0280,  0.5357
25-Jul-25,KFINTECH,1164.6,1232.6, -0.0567,  0.0316,  0.0317,  0.6062,1166.6,1236.3, -0.0580,  0.0316,  0.0318,  0.6069,  0.0318,  0.6069
25-Jul-25,KOTAKBANK,2124.6,2142.1, -0.0082,  0.0144,  0.0144,  0.2747,2128.5,2147.1, -0.0087,  0.0139,  0.0139,  0.2656,  0.0144,  0.2747
25-Jul-25,KPITTECH,1227.2,1253, -0.0208,  0.0242,  0.0242,  0.4623,1224.4,1249, -0.0199,  0.0241,  0.0241,  0.4599,  0.0242,  0.4623
25-Jul-25,LAURUSLABS,837.75,836.5,  0.0015,  0.0221,  0.0221,  0.4221,837.2,836.9,  0.0004,  0.0220,  0.0220,  0.4195,  0.0221,  0.4221
25-Jul-25,LICHSGFIN,606.9,614.7, -0.0128,  0.0195,  0.0194,  0.3712,605.95,615, -0.0148,  0.0197,  0.0196,  0.3752,  0.0196,  0.3752
25-Jul-25,LICI,886.85,905.05, -0.0203,  0.0182,  0.0182,  0.3480,886.7,906.8, -0.0224,  0.0184,  0.0184,  0.3512,  0.0184,  0.3512
25-Jul-25,LODHA,1279.4,1326.1, -0.0359,  0.0269,  0.0270,  0.5157,1282.6,1329.1, -0.0356,  0.0264,  0.0264,  0.5047,  0.0270,  0.5157
25-Jul-25,LT,3442.9,3477.5, -0.0100,  0.0156,  0.0156,  0.2983,3448.7,3486.9, -0.0110,  0.0154,  0.0154,  0.2939,  0.0156,  0.2983
25-Jul-25,LTF,204.91,210.1, -0.0250,  0.0206,  0.0207,  0.3947,205.02,210.71, -0.0274,  0.0211,  0.0212,  0.4044,  0.0212,  0.4044
25-Jul-25,LTIM,5096,5206, -0.0214,  0.0182,  0.0182,  0.3480,5093,5198, -0.0204,  0.0185,  0.0185,  0.3538,  0.0185,  0.3538
25-Jul-25,LUPIN,1951,1929.5,  0.0111,  0.0175,  0.0174,  0.3333,1953.8,1931.1,  0.0117,  0.0173,  0.0173,  0.3309,  0.0174,  0.3333
25-Jul-25,M&M,3246.4,3260.9, -0.0045,  0.0182,  0.0182,  0.3468,3245.1,3262.4, -0.0053,  0.0178,  0.0178,  0.3394,  0.0182,  0.3468
25-Jul-25,M&MFIN,253.4,259.15, -0.0224,  0.0191,  0.0191,  0.3655,252.9,259.2, -0.0246,  0.0193,  0.0194,  0.3698,  0.0194,  0.3698
25-Jul-25,MANAPPURAM,265.65,272.45, -0.0253,  0.0239,  0.0239,  0.4568,265.8,272.5, -0.0249,  0.0239,  0.0239,  0.4568,  0.0239,  0.4568
25-Jul-25,MANKIND,2603.4,2589.5,  0.0054,  0.0195,  0.0195,  0.3723,2601.4,2596.6,  0.0018,  0.0195,  0.0194,  0.3715,  0.0195,  0.3723
25-Jul-25,MARICO,693.95,706.9, -0.0185,  0.0144,  0.0145,  0.2761,695.25,707.35, -0.0173,  0.0140,  0.0140,  0.2682,  0.0145,  0.2761
25-Jul-25,MARUTI,12404,12557, -0.0123,  0.0130,  0.0130,  0.2484,12427,12591, -0.0131,  0.0127,  0.0127,  0.2421,  0.0130,  0.2484
25-Jul-25,MAXHEALTH,1280.5,1267.4,  0.0103,  0.0229,  0.0229,  0.4366,1280.2,1269.2,  0.0086,  0.0227,  0.0226,  0.4322,  0.0229,  0.4366
25-Jul-25,MAZDOCK,2886.6,2959.6, -0.0250,  0.0344,  0.0343,  0.6555,2892.3,2967.4, -0.0256,  0.0343,  0.0343,  0.6553,  0.0343,  0.6555
25-Jul-25,MCX,8040,8242.5, -0.0249,  0.0255,  0.0255,  0.4875,8040.5,8243.5, -0.0249,  0.0255,  0.0255,  0.4874,  0.0255,  0.4875
25-Jul-25,MFSL,1526.7,1525.8,  0.0006,  0.0168,  0.0168,  0.3210,1527.2,1530.4, -0.0021,  0.0168,  0.0168,  0.3210,  0.0168,  0.3210
25-Jul-25,MGL,1379.7,1428.5, -0.0348,  0.0237,  0.0237,  0.4531,1378.7,1428.7, -0.0356,  0.0234,  0.0234,  0.4478,  0.0237,  0.4531
25-Jul-25,MIDCPNIFTY,12925.9,13107.65, -0.0140,  0.0122,  0.0122,  0.2327,12948.95,13139.9, -0.0146,  0.0127,  0.0127,  0.2420,  0.0127,  0.2420
25-Jul-25,MOTHERSON,100.34,103.05, -0.0266,  0.0219,  0.0219,  0.4180,100.29,103.32, -0.0298,  0.0219,  0.0220,  0.4194,  0.0220,  0.4194
25-Jul-25,MPHASIS,2624.9,2653.5, -0.0108,  0.0203,  0.0202,  0.3868,2625.8,2661, -0.0133,  0.0201,  0.0201,  0.3837,  0.0202,  0.3868
25-Jul-25,MUTHOOTFIN,2660.6,2662.2, -0.0006,  0.0189,  0.0189,  0.3608,2665.5,2656.4,  0.0034,  0.0191,  0.0191,  0.3642,  0.0191,  0.3642
25-Jul-25,NATIONALUM,193.66,198.9, -0.0267,  0.0267,  0.0267,  0.5108,193.79,198.88, -0.0259,  0.0265,  0.0265,  0.5067,  0.0267,  0.5108
25-Jul-25,NAUKRI,1436.5,1453.6, -0.0118,  0.0213,  0.0212,  0.4054,1437.1,1453.1, -0.0111,  0.0211,  0.0211,  0.4025,  0.0212,  0.4054
25-Jul-25,NBCC,109.25,113.68, -0.0397,  0.0298,  0.0298,  0.5699,109.44,113.77, -0.0388,  0.0299,  0.0299,  0.5716,  0.0299,  0.5716
25-Jul-25,NCC,218.25,224.74, -0.0293,  0.0270,  0.0270,  0.5156,217.76,224.58, -0.0308,  0.0269,  0.0270,  0.5150,  0.0270,  0.5156
25-Jul-25,NESTLEIND,2274.6,2322, -0.0206,  0.0122,  0.0123,  0.2341,2273.2,2323.6, -0.0219,  0.0122,  0.0122,  0.2338,  0.0123,  0.2341
25-Jul-25,NHPC,83.48,85.84, -0.0279,  0.0221,  0.0221,  0.4221,83.68,85.87, -0.0258,  0.0224,  0.0224,  0.4280,  0.0224,  0.4280
25-Jul-25,NIFTY,24837,25062.1, -0.0090,  0.0086,  0.0086,  0.1634,24850.4,25095.4, -0.0098,  0.0085,  0.0085,  0.1616,  0.0086,  0.1634
25-Jul-25,NIFTYNXT50,67146.65,68207.3, -0.0157,  0.0121,  0.0121,  0.2317,67140.6,68223.2, -0.0160,  0.0120,  0.0120,  0.2288,  0.0121,  0.2317
25-Jul-25,NMDC,71.65,72.75, -0.0152,  0.0222,  0.0222,  0.4237,71.64,72.98, -0.0185,  0.0224,  0.0224,  0.4273,  0.0224,  0.4273
25-Jul-25,NTPC,333.2,338.9, -0.0170,  0.0165,  0.0165,  0.3153,333.5,338.8, -0.0158,  0.0164,  0.0164,  0.3126,  0.0165,  0.3153
25-Jul-25,NYKAA,212.23,215.62, -0.0158,  0.0198,  0.0198,  0.3785,212.68,216.09, -0.0159,  0.0200,  0.0200,  0.3815,  0.0200,  0.3815
25-Jul-25,OBEROIRLTY,1698.2,1746.8, -0.0282,  0.0215,  0.0216,  0.4120,1701,1747.6, -0.0270,  0.0214,  0.0215,  0.4100,  0.0216,  0.4120
25-Jul-25,OFSS,8609,8939, -0.0376,  0.0223,  0.0224,  0.4287,8607.5,8943, -0.0382,  0.0220,  0.0221,  0.4224,  0.0224,  0.4287
25-Jul-25,OIL,434.75,446.95, -0.0277,  0.0256,  0.0256,  0.4889,435.8,447.15, -0.0257,  0.0257,  0.0257,  0.4906,  0.0257,  0.4906
25-Jul-25,ONGC,240.29,244.83, -0.0187,  0.0189,  0.0189,  0.3618,240.28,245.05, -0.0197,  0.0187,  0.0187,  0.3578,  0.0189,  0.3618
25-Jul-25,PAGEIND,46275,47115, -0.0180,  0.0154,  0.0154,  0.2943,46150,46485, -0.0072,  0.0146,  0.0145,  0.2779,  0.0154,  0.2943
25-Jul-25,PATANJALI,1880.4,1898.5, -0.0096,  0.0196,  0.0195,  0.3732,1879.7,1898.6, -0.0100,  0.0197,  0.0197,  0.3755,  0.0197,  0.3755
25-Jul-25,PAYTM,1067.75,1106.25, -0.0354,  0.0317,  0.0317,  0.6055,1067.7,1107, -0.0361,  0.0318,  0.0318,  0.6079,  0.0318,  0.6079
25-Jul-25,PEL,1278.5,1306.5, -0.0217,  0.0235,  0.0235,  0.4493,1277.7,1307.4, -0.0230,  0.0239,  0.0239,  0.4559,  0.0239,  0.4559
25-Jul-25,PERSISTENT,5150.5,5174, -0.0046,  0.0229,  0.0228,  0.4363,5146,5180, -0.0066,  0.0228,  0.0228,  0.4352,  0.0228,  0.4363
25-Jul-25,PETRONET,301.75,307.65, -0.0194,  0.0180,  0.0180,  0.3438,301.8,307.75, -0.0195,  0.0180,  0.0180,  0.3433,  0.0180,  0.3438
25-Jul-25,PFC,415.1,422.15, -0.0168,  0.0255,  0.0255,  0.4869,415.3,422.65, -0.0175,  0.0258,  0.0257,  0.4919,  0.0257,  0.4919
25-Jul-25,PGEL,800.7,801.35, -0.0008,  0.0342,  0.0341,  0.6511,802.2,803, -0.0010,  0.0342,  0.0341,  0.6509,  0.0341,  0.6511
25-Jul-25,PHOENIXLTD,1525.9,1448.1,  0.0523,  0.0250,  0.0252,  0.4815,1524.8,1449.4,  0.0507,  0.0250,  0.0252,  0.4814,  0.0252,  0.4815
25-Jul-25,PIDILITIND,2889.6,2907.9, -0.0063,  0.0121,  0.0121,  0.2316,2886.5,2909.1, -0.0078,  0.0121,  0.0120,  0.2300,  0.0121,  0.2316
25-Jul-25,PIIND,4092.1,4113.9, -0.0053,  0.0165,  0.0164,  0.3143,4089.7,4111.2, -0.0052,  0.0163,  0.0163,  0.3112,  0.0164,  0.3143
25-Jul-25,PNB,108.41,110.67, -0.0206,  0.0207,  0.0207,  0.3952,108.43,110.94, -0.0229,  0.0208,  0.0208,  0.3981,  0.0208,  0.3981
25-Jul-25,PNBHOUSING,1010.4,1050.2, -0.0386,  0.0242,  0.0243,  0.4637,1009.8,1050.3, -0.0393,  0.0241,  0.0242,  0.4631,  0.0243,  0.4637
25-Jul-25,POLICYBZR,1781.4,1791, -0.0054,  0.0270,  0.0269,  0.5148,1782.7,1796.4, -0.0077,  0.0270,  0.0269,  0.5139,  0.0269,  0.5148
25-Jul-25,POLYCAB,6734.5,6841, -0.0157,  0.0237,  0.0237,  0.4521,6733,6844.5, -0.0164,  0.0236,  0.0235,  0.4497,  0.0237,  0.4521
25-Jul-25,POONAWALLA,413.3,432.45, -0.0453,  0.0232,  0.0234,  0.4461,414.1,433.4, -0.0456,  0.0235,  0.0236,  0.4517,  0.0236,  0.4517
25-Jul-25,POWERGRID,292.1,299.35, -0.0245,  0.0165,  0.0166,  0.3170,291.7,299.35, -0.0259,  0.0162,  0.0162,  0.3100,  0.0166,  0.3170
25-Jul-25,PPLPHARMA,202.21,203.19, -0.0048,  0.0259,  0.0258,  0.4936,202.85,203.73, -0.0043,  0.0260,  0.0259,  0.4946,  0.0259,  0.4946
25-Jul-25,PRESTIGE,1669.1,1698, -0.0172,  0.0266,  0.0266,  0.5078,1669.2,1701.4, -0.0191,  0.0267,  0.0267,  0.5095,  0.0267,  0.5095
25-Jul-25,RBLBANK,254.48,256.4, -0.0075,  0.0263,  0.0263,  0.5019,253.97,255.63, -0.0065,  0.0265,  0.0265,  0.5059,  0.0265,  0.5059
25-Jul-25,RECLTD,400.75,404.9, -0.0103,  0.0263,  0.0262,  0.5011,400.45,405.65, -0.0129,  0.0263,  0.0263,  0.5019,  0.0263,  0.5019
25-Jul-25,RELIANCE,1391.7,1402.9, -0.0080,  0.0137,  0.0137,  0.2608,1393.7,1406.6, -0.0092,  0.0134,  0.0133,  0.2549,  0.0137,  0.2608
25-Jul-25,RVNL,365.6,376.9, -0.0304,  0.0328,  0.0328,  0.6261,364.7,377.05, -0.0333,  0.0328,  0.0328,  0.6269,  0.0328,  0.6269
25-Jul-25,SAIL,130.67,136.17, -0.0412,  0.0247,  0.0248,  0.4738,130.39,136.13, -0.0431,  0.0251,  0.0252,  0.4814,  0.0252,  0.4814
25-Jul-25,SBICARD,888.55,885.8,  0.0031,  0.0160,  0.0159,  0.3041,888.9,885.9,  0.0034,  0.0160,  0.0160,  0.3053,  0.0160,  0.3053
25-Jul-25,SBILIFE,1832.1,1793.7,  0.0212,  0.0144,  0.0145,  0.2761,1834.1,1804.2,  0.0164,  0.0139,  0.0139,  0.2655,  0.0145,  0.2761
25-Jul-25,SBIN,806.55,815.7, -0.0113,  0.0149,  0.0149,  0.2850,807.65,818.3, -0.0131,  0.0150,  0.0150,  0.2863,  0.0150,  0.2863
25-Jul-25,SENSEX,81463.09,82184.17, -0.0088,  0.0085,  0.0085,  0.1621,81530.7,82279.8, -0.0091,  0.0081,  0.0081,  0.1557,  0.0085,  0.1621
25-Jul-25,SENSEX50,25945.27,26177.98, -0.0089,  0.0086,  0.0086,  0.1634,25962.35,26199.5, -0.0091,  0.0085,  0.0085,  0.1626,  0.0086,  0.1634
25-Jul-25,SHREECEM,30950,31745, -0.0254,  0.0141,  0.0142,  0.2717,30985,31845, -0.0274,  0.0144,  0.0145,  0.2766,  0.0145,  0.2766
25-Jul-25,SHRIRAMFIN,615.85,633.55, -0.0283,  0.0226,  0.0226,  0.4321,616.9,634.2, -0.0277,  0.0223,  0.0223,  0.4259,  0.0226,  0.4321
25-Jul-25,SIEMENS,3038.2,3129, -0.0294,  0.0224,  0.0225,  0.4294,3040.6,3129.4, -0.0288,  0.0224,  0.0224,  0.4282,  0.0225,  0.4294
25-Jul-25,SJVN,95.19,98.79, -0.0371,  0.0272,  0.0272,  0.5206,95.11,98.89, -0.0390,  0.0279,  0.0279,  0.5336,  0.0279,  0.5336
25-Jul-25,SOLARINDS,14505,14752, -0.0169,  0.0226,  0.0226,  0.4320,14535,14800, -0.0181,  0.0226,  0.0226,  0.4319,  0.0226,  0.4320
25-Jul-25,SONACOMS,469.45,490.8, -0.0445,  0.0224,  0.0226,  0.4315,469.85,490.75, -0.0435,  0.0222,  0.0223,  0.4268,  0.0226,  0.4315
25-Jul-25,SRF,3040.8,3150.2, -0.0353,  0.0177,  0.0178,  0.3410,3040,3152.7, -0.0364,  0.0175,  0.0177,  0.3379,  0.0178,  0.3410
25-Jul-25,SUNPHARMA,1699,1692,  0.0041,  0.0127,  0.0126,  0.2414,1699,1692.8,  0.0037,  0.0123,  0.0123,  0.2343,  0.0126,  0.2414
25-Jul-25,SUPREMEIND,4312,4242.6,  0.0162,  0.0231,  0.0231,  0.4413,4313.5,4243.5,  0.0164,  0.0232,  0.0232,  0.4426,  0.0232,  0.4426
25-Jul-25,SX40,46811.81,47270.76, -0.0098,  0.0087,  0.0087,  0.1656,47086.45,47556.5, -0.0099,  0.0088,  0.0088,  0.1678,  0.0088,  0.1678
25-Jul-25,SYNGENE,681.1,669.75,  0.0168,  0.0178,  0.0178,  0.3403,682.45,671.95,  0.0155,  0.0178,  0.0178,  0.3392,  0.0178,  0.3403
25-Jul-25,TATACHEM,941.45,946.4, -0.0052,  0.0184,  0.0184,  0.3506,945.55,947, -0.0015,  0.0187,  0.0186,  0.3562,  0.0186,  0.3562
25-Jul-25,TATACOMM,1728.8,1728.5,  0.0002,  0.0173,  0.0172,  0.3291,1731.7,1731.7,  0.0000,  0.0174,  0.0174,  0.3317,  0.0174,  0.3317
25-Jul-25,TATACONSUM,1054.4,1072.8, -0.0173,  0.0148,  0.0148,  0.2823,1054.1,1075.7, -0.0203,  0.0145,  0.0145,  0.2769,  0.0148,  0.2823
25-Jul-25,TATAELXSI,6062,6226, -0.0267,  0.0197,  0.0197,  0.3766,6059.5,6235.5, -0.0286,  0.0202,  0.0202,  0.3866,  0.0202,  0.3866
25-Jul-25,TATAMOTORS,687.4,700.5, -0.0189,  0.0190,  0.0190,  0.3637,687.7,702.4, -0.0212,  0.0191,  0.0191,  0.3643,  0.0191,  0.3643
25-Jul-25,TATAPOWER,395.35,400.7, -0.0134,  0.0188,  0.0188,  0.3588,395.05,400.85, -0.0146,  0.0192,  0.0192,  0.3671,  0.0192,  0.3671
25-Jul-25,TATASTEEL,161.43,163.48, -0.0126,  0.0182,  0.0182,  0.3481,161.61,163.99, -0.0146,  0.0184,  0.0184,  0.3514,  0.0184,  0.3514
25-Jul-25,TATATECH,708.35,718.15, -0.0137,  0.0167,  0.0167,  0.3183,707.7,718.35, -0.0149,  0.0172,  0.0172,  0.3290,  0.0172,  0.3290
25-Jul-25,TCS,3135.8,3148.2, -0.0039,  0.0130,  0.0129,  0.2472,3133.9,3148.9, -0.0048,  0.0126,  0.0126,  0.2405,  0.0129,  0.2472
25-Jul-25,TECHM,1461.9,1498.6, -0.0248,  0.0164,  0.0165,  0.3148,1461.4,1500.2, -0.0262,  0.0161,  0.0162,  0.3096,  0.0165,  0.3148
25-Jul-25,TIINDIA,2889,2933.1, -0.0151,  0.0234,  0.0234,  0.4461,2882.6,2933.5, -0.0175,  0.0234,  0.0234,  0.4466,  0.0234,  0.4466
25-Jul-25,TITAGARH,874.7,904.85, -0.0339,  0.0307,  0.0308,  0.5876,873.5,904.9, -0.0353,  0.0314,  0.0314,  0.5999,  0.0314,  0.5999
25-Jul-25,TITAN,3462.8,3484.4, -0.0062,  0.0143,  0.0143,  0.2736,3459.2,3485.6, -0.0076,  0.0141,  0.0141,  0.2691,  0.0143,  0.2736
25-Jul-25,TORNTPHARM,3603.8,3519.8,  0.0236,  0.0143,  0.0143,  0.2740,3603.2,3530.6,  0.0204,  0.0141,  0.0141,  0.2692,  0.0143,  0.2740
25-Jul-25,TORNTPOWER,1325.5,1356.4, -0.0230,  0.0239,  0.0239,  0.4569,1326,1356.1, -0.0224,  0.0240,  0.0240,  0.4582,  0.0240,  0.4582
25-Jul-25,TRENT,5043,5154, -0.0218,  0.0257,  0.0257,  0.4915,5054.5,5166.5, -0.0219,  0.0258,  0.0258,  0.4930,  0.0258,  0.4930
25-Jul-25,TVSMOTOR,2774.4,2797.7, -0.0084,  0.0170,  0.0170,  0.3249,2778.7,2800.8, -0.0079,  0.0170,  0.0169,  0.3233,  0.0170,  0.3249
25-Jul-25,ULTRACEMCO,12250,12226.5,  0.0019,  0.0141,  0.0141,  0.2688,12244,12237,  0.0006,  0.0136,  0.0136,  0.2599,  0.0141,  0.2688
25-Jul-25,UNIONBANK,136.22,140.22, -0.0289,  0.0239,  0.0240,  0.4580,136.27,140.24, -0.0287,  0.0241,  0.0242,  0.4616,  0.0242,  0.4616
25-Jul-25,UNITDSPR,1309.6,1335.2, -0.0194,  0.0157,  0.0158,  0.3010,1310.5,1338.7, -0.0213,  0.0155,  0.0155,  0.2966,  0.0158,  0.3010
25-Jul-25,UNOMINDA,1085.1,1081,  0.0038,  0.0227,  0.0227,  0.4332,1084.2,1083.3,  0.0008,  0.0228,  0.0227,  0.4338,  0.0227,  0.4338
25-Jul-25,UPL,722.2,726.55, -0.0060,  0.0176,  0.0176,  0.3362,723.85,726.5, -0.0037,  0.0179,  0.0179,  0.3416,  0.0179,  0.3416
25-Jul-25,VBL,477.15,486, -0.0184,  0.0212,  0.0212,  0.4044,476.85,485.95, -0.0189,  0.0211,  0.0211,  0.4026,  0.0212,  0.4044
25-Jul-25,VEDL,443.55,451.35, -0.0174,  0.0212,  0.0212,  0.4045,443.8,452.6, -0.0196,  0.0215,  0.0214,  0.4097,  0.0214,  0.4097
25-Jul-25,VOLTAS,1315.6,1344, -0.0214,  0.0209,  0.0209,  0.3991,1316.4,1346.8, -0.0228,  0.0205,  0.0205,  0.3919,  0.0209,  0.3991
25-Jul-25,WIPRO,259.2,261.85, -0.0102,  0.0170,  0.0170,  0.3243,251.5,256.05, -0.0179,  0.0169,  0.0169,  0.3221,  0.0170,  0.3243
25-Jul-25,YESBANK,19.6,20.01, -0.0207,  0.0234,  0.0234,  0.4475,19.61,20.04, -0.0217,  0.0234,  0.0234,  0.4476,  0.0234,  0.4476
25-Jul-25,ZYDUSLIFE,976.45,960.25,  0.0167,  0.0158,  0.0158,  0.3024,976.35,961.65,  0.0152,  0.0160,  0.0160,  0.3054,  0.0160,  0.3054
